Lê_Thái_Tổ,Np,B-PER
(,F,0
1428,M,O
-,F,O
1433,M,O
),F,O
sinh,V,B-RHB
ngày,N,I-RHB
6,M,I-RHB
tháng,N,I-RHB
Tám,M,I-RHB
năm,N,I-RHB
Ất_Sửu,Np,I-RHB
-,F,O
10,M,O
/,F,O
9,M,O
/,F,O
1385,M,O
",",F,O
là,V,O
con_trai,N,O
thứ,N,O
3,M,O
của,E,O
ông,Nc,O
Lê_Khoáng,Np,O
và,C,O
bà,Nc,O
Trịnh_Thị_Thương,Np,O
",",F,O
người,N,B-RIL
ở,E,I-RIL
hương,N,I-RIL
Lam_Sơn,Np,I-RIL
",",F,I-RIL
huyện,N,I-RIL
Lương_Giang,Np,I-RIL
",",F,I-RIL
trấn,V,I-RIL
Thanh_Hoá,Np,I-RIL
.,F,O
Ngay,T,O
từ,E,
khi,N,
còn,R,O
trẻ,A,
",",F,
Lê_Lợi,Np,B-RHA
đã,R,I-RHA
tỏ,V,I-RHA
ra,R,I-RHA
là,V,I-RHA
người,N,I-RHA
thông_minh,A,I-RHA
",",F,I-RHA
dũng,N,I-RHA
lược,N,I-RHA
",",F,I-RHA
đức_độ,A,I-RHA
hơn,A,I-RHA
người,N,I-RHA
",",F,I-RHA
dáng,N,I-RHA
người,N,I-RHA
hùng_vĩ,A,I-RHA
",",F,I-RHA
mắt,N,I-RHA
sáng,A,I-RHA
",",F,I-RHA
miệng,N,I-RHA
rộng,A,I-RHA
",",F,I-RHA
mũi,N,I-RHA
cao,A,I-RHA
",",F,I-RHA
trên,E,I-RHA
vai,N,I-RHA
phải,V,I-RHA
có,V,I-RHA
nốt_ruồi,N,I-RHA
đỏ,A,I-RHA
lớn,A,I-RHA
",",F,I-RHA
tiếng_nói,N,I-RHA
như,C,I-RHA
chuông,N,I-RHA
",",F,I-RHA
bậc,N,I-RHA
thức,V,I-RHA
giả,A,I-RHA
biết,V,I-RHA
ngay,R,I-RHA
là,V,I-RHA
người,N,I-RHA
phi_thường,A,I-RHA
.,F,O
Lớn,V,O
lên,V,O
",",F,O
ông,N,B-ABO
làm,V,I-ABO
chức,N,I-ABO
Phụ_đạo,N,I-ABO
ở,E,I-ABO
Khả_Lam,Np,I-ABO
",",F,O
ông,N,B-RHA
chăm_chỉ,V,I-RHA
dùi,N,I-RHA
mài,V,I-RHA
đọc,V,I-RHA
sách,N,I-RHA
và,C,I-RHA
binh_pháp,N,I-RHA
",",F,I-RHA
nghiền,N,I-RHA
ngẫm,V,I-RHA
thao_lược,N,I-RHA
",",F,I-RHA
tìm,V,I-RHA
mời,V,I-RHA
những,L,I-RHA
người,N,I-RHA
mưu_trí,A,I-RHA
",",F,I-RHA
chiêu,N,I-RHA
tập,V,I-RHA
dân,N,I-RHA
lưu,V,I-RHA
tán,A,I-RHA
",",F,O
hăng_hái,A,B-ARC
dấy,V,I-ARC
nghĩa_binh,N,I-ARC
",",F,I-ARC
mong,V,I-ARC
trừ,V,I-ARC
loạn,N,I-ARC
lớn,A,I-ARC
.,F,O
Mùa,Nc,B-RTT
xuân,N,I-RTT
năm,N,I-RTT
Mậu_Tuất,Np,I-RTT
-,F,I-RTT
1418,M,I-RTT
",",F,I-RTT
Lê_Lợi,Np,B-RHN
đã,R,O
cùng,A,O
những,L,O
hào,N,O
kiệt,N,O
đồng_chí_hướng,A,O
như,C,O
Nguyễn_Trãi,Np,B-ANP
",",F,I-ANP
Trần_Nguyên_Hãn,Np,I-ANP
",",F,I-ANP
Lê_Văn_An,Np,I-ANP
",",F,I-ANP
Lê_Văn_Linh,Np,I-ANP
",",F,I-ANP
Bùi_Quốc_Hưng,Np,I-ANP
",",F,I-ANP
Lưu_Nhân,Np,I-ANP
Chú,Np,I-ANP
v,V,I-ANP
.,F,I-ANP
v,N,I-ANP
...,F,O
phất,V,B-ARC
cờ,N,I-ARC
khởi_nghĩa,N,I-ARC
ở,E,I-ARC
Lam_Sơn,Np,I-ARC
",",F,I-ARC
xưng,N,I-ARC
là,V,I-ARC
Bình_Định_Vương,Np,I-ARC
",",F,I-ARC
kêu_gọi,V,I-ARC
nhân_dân,N,I-ARC
đồng_lòng,V,I-ARC
đứng,V,I-ARC
lên,R,I-ARC
đánh,V,I-ARC
giặc,N,I-ARC
cứu,V,I-ARC
nước,N,I-ARC
.,F,I-ARC
Suốt,A,I-ARC
10,M,I-ARC
năm,N,I-ARC
nằm,V,I-ARC
gai,N,I-ARC
nếm,N,I-ARC
mật,A,I-ARC
",",F,I-ARC
vào,V,I-ARC
sinh,V,I-ARC
ra,V,I-ARC
tử,V,I-ARC
",",F,I-ARC
Lê_Lợi,Np,I-ARC
đã,R,I-ARC
lãnh_đạo,V,I-ARC
cuộc,N,I-ARC
kháng_chiến,V,I-ARC
chống,V,I-ARC
quân,N,I-ARC
Minh,Np,I-ARC
thắng_lợi,V,I-ARC
.,F,O
